id,difficulty,category,question,choice_a,choice_b,choice_c,correct,explanation,source_folder
1,やさしい,基本ルール,ドリブルを一度止めたあと、もう一度ドリブルしたら？,トラベリング,ダブルドリブル,ファウル,B,ドリブルを止めたあとはパスかシュートが基本です。,01_公式ルール資料
2,やさしい,基本ルール,ボールを持ったまま歩きすぎたときの反則は？,トラベリング,ダブルドリブル,アウトオブバウンズ,A,ボールを持って足を動かしすぎるとトラベリングになります。,01_公式ルール資料
3,やさしい,基本ルール,ボールがサイドラインの外に出たら、どう再開する？,ジャンプボール,スローイン,フリースロー,B,ラインの外からスローインで再開します。,01_公式ルール資料
4,やさしい,基本ルール,シュートが外れたあと、ボールを取りにいくプレーは？,リバウンド,ルーズボール,スローイン,A,外れたシュートのボールを取りにいくプレーがリバウンドです。,01_公式ルール資料
5,やさしい,基本ルール,相手を手で押して動きを止めた場合に近いものは？,リバウンド,ファウル,タイムアウト,B,押す・つかむなどで相手のプレーを妨げるとファウルになることがあります。,01_公式ルール資料
6,やさしい,基本ルール,ラインを踏んだ状態でボールを持つとどうなることがある？,アウトになる,得点になる,タイムアウトになる,A,コートの外やライン上に触れるとアウト扱いになることがあります。,01_公式ルール資料
7,やさしい,基本ルール,味方へボールを渡すプレーは？,パス,スクリーン,リバウンド,A,味方にボールを渡すプレーをパスといいます。,01_公式ルール資料
8,やさしい,基本ルール,ボールを床につきながら進むプレーは？,ドリブル,スローイン,ピボット,A,ボールを床について進むのがドリブルです。,01_公式ルール資料
9,やさしい,基本ルール,リングに向かって得点を狙うプレーは？,パス,シュート,リバウンド,B,得点を狙ってリングに投げるプレーをシュートといいます。,01_公式ルール資料
10,やさしい,用語,どちらのチームもまだ完全に持っていないボールは？,ルーズボール,ライブボール,デッドボール,A,誰も保持していないボールをルーズボールと呼びます。,01_公式ルール資料
11,やさしい,用語,攻める側のチームや動きのことは？,ディフェンス,オフェンス,テーブルオフィシャルズ,B,ボールを持って得点を狙う側がオフェンスです。,01_公式ルール資料
12,やさしい,用語,守る側のチームや動きのことは？,オフェンス,スローイン,ディフェンス,C,相手の得点を防ぐ側がディフェンスです。,01_公式ルール資料
13,やさしい,用語,試合中に作戦確認などで取る中断は？,タイムアウト,ファウルアウト,アウトオブバウンズ,A,作戦確認などのために取る中断をタイムアウトといいます。,01_公式ルール資料
14,やさしい,用語,得点やファウルを記録する用紙は？,メンバー表,スコアシート,対戦表,B,得点やファウルなどを記録する用紙がスコアシートです。,03_TO・試合運営資料
15,やさしい,用語,守る相手を決めて責任を持って守る考え方は？,ゾーンディフェンス,マンツーマン,ファストブレイク,B,マンツーマンは相手を決めて守る考え方です。,01_公式ルール資料
16,ふつう,TO,TOは何の略？,テーブルオフィシャルズ,タイムアウトオーダー,チームオフェンス,A,TOはテーブルオフィシャルズの略です。,03_TO・試合運営資料
17,ふつう,TO,TOの役割に近いものは？,得点や時間を管理する,応援の声を決める,ベンチメンバーを選ぶ,A,TOは得点、時間、ファウルなどを記録・管理します。,03_TO・試合運営資料
18,ふつう,TO,スコアラーが主に確認するものは？,得点やファウルの記録,選手の飲み物,観客席の人数,A,スコアラーは得点やファウルなどを記録します。,03_TO・試合運営資料
19,ふつう,TO,タイマーが主に関わるものは？,試合時間,得点の合計,ユニフォーム番号,A,タイマーは試合時間などの管理に関わります。,03_TO・試合運営資料
20,ふつう,TO,TOで迷ったときに一番よい対応は？,近くの保護者だけで決める,そのまま進める,TO主任や審判に確認する,C,困ったときはTO主任や審判に確認することが大切です。,03_TO・試合運営資料
21,ふつう,TO,得点が入った直後、TOが気をつけたいことは？,表示や記録が合っているか確認する,すぐタイムアウトを取る,応援席へ報告する,A,得点表示と記録が合っているか確認します。,03_TO・試合運営資料
22,ふつう,TO,ファウルがあったとき、TOが関わることは？,記録を確認する,試合を撮影する,次の相手を決める,A,ファウル数などを正しく記録することが大切です。,03_TO・試合運営資料
23,ふつう,観戦,試合を見るとき、点数以外で見たいものは？,戻りの速さや声かけ,靴の色,観客席の人数,A,リバウンド、戻り、声かけなどにも成長が出ます。,02_保護者・育成資料
24,ふつう,観戦,ボールを持っていない子を見る意味は？,意味がある,ほとんどない,反則を見るためだけ,A,ボールを持っていない時の動きにも良いプレーがあります。,02_保護者・育成資料
25,ふつう,観戦,試合後の声かけでおすすめなのは？,結果だけを聞く,挑戦したことを見つける,審判の話だけをする,B,結果だけでなく挑戦や努力を見つけて伝えるのがおすすめです。,02_保護者・育成資料
26,ふつう,観戦,シュートが入らなかった子にも見たいところは？,戻りや守備のがんばり,シュートの失敗だけ,ベンチに戻る速さだけ,A,シュート以外にも良いプレーはたくさんあります。,02_保護者・育成資料
27,ふつう,観戦,リバウンドやルーズボールが大切な理由は？,次の攻撃や守備につながる,得点板が動くから,必ずファウルをもらえるから,A,ボールを取ることで次のプレーにつながります。,02_保護者・育成資料
28,ふつう,ミニバス,ミニバスでは大人のバスケと違う適用ルールがある？,ない,ある,大会ごとに必ず全部違う,B,ミニバスにはU12向けの適用ルールがあります。,01_公式ルール資料
29,ふつう,ミニバス,U12でマンツーマンが大切にされる理由に近いものは？,育成年代の成長のため,点差を広げるため,試合時間を短くするため,A,育成年代の成長につながる考え方として大切にされています。,01_公式ルール資料
30,ふつう,ミニバス,低学年や初心者の試合を見るときに大切なのは？,ミスだけを見る,できたことを見つける,大人と同じ完成度を求める,B,成長途中なので、できたことや挑戦を見つける視点が大切です。,02_保護者・育成資料
31,ふつう,ミニバス,試合中に保護者が細かく指示しすぎると？,子どもが混乱することがある,必ず上手くなる,審判が止めて説明してくれる,A,ベンチやコーチの指示と混ざり、子どもが迷うことがあります。,02_保護者・育成資料
32,ふつう,ミニバス,応援で大切にしたいことは？,相手や審判を尊重する,判定ごとに大声を出す,相手チームを責める,A,子どもたちのためにも、相手や審判を尊重した応援が大切です。,02_保護者・育成資料
33,ふつう,プレー,味方がシュートしたあとに大切な動きは？,リバウンドに入る,その場で止まる,すぐベンチを見る,A,シュート後はリバウンドや守備への切り替えが大切です。,02_保護者・育成資料
34,ふつう,プレー,ボールを奪われた直後に大切なのは？,すぐ守備に戻る,審判に説明する,シュート練習をする,A,攻撃から守備への切り替えが大切です。,02_保護者・育成資料
35,ふつう,保護者,北陽独自の当番や配車ルールはどこを確認する？,公式競技規則だけ,北陽チーム資料,YouTubeだけ,B,チーム独自の運用は北陽チーム資料で確認する内容です。,04_北陽チーム資料
36,高め,基本ルール,ドリブルを止めたあと、軸足を保って体の向きを変える動きは？,ピボット,ダブルドリブル,スローイン,A,ドリブルを止めたあとも、軸足を保ったピボットは大切な動きです。,01_公式ルール資料
37,高め,基本ルール,ドリブル中にボールを片手で下から支えるように持ち上げると？,リバウンドになる,ドリブルの反則になることがある,必ずファウルになる,B,ボールを下から支えるような扱いはドリブルの反則になることがあります。,01_公式ルール資料
38,高め,基本ルール,ボール保持者が止まったあと、守備が近いときにまず考えたいプレーは？,無理にもう一度ドリブルする,パスやピボットで逃げ道を作る,相手を押してスペースを作る,B,止まったあとは再ドリブルできないため、パスやピボットが大切です。,01_公式ルール資料
39,高め,基本ルール,接触があっても必ずファウルとは限らない理由は？,接触の影響や位置関係も見るため,ミニバスではファウルがないため,強いチームだけ認められるため,A,接触そのものではなく、相手のプレーを不当に妨げたかが大事です。,01_公式ルール資料
40,高め,ミニバス,U12でマンツーマンが求められる場面で、守備側が意識したいことは？,自分の相手とボールの位置を見る,全員でゴール下だけを守る,一番大きい子だけを守る,A,自分の相手とボールの位置を見ながら守ることが大切です。,01_公式ルール資料
41,高め,ミニバス,ヘルプディフェンスに近い考え方は？,味方が抜かれた時に助ける位置を取る,自分のマークを完全に捨てる,攻撃の時だけ声を出す,A,味方を助けられる位置を取ることは守備で大切です。,01_公式ルール資料
42,高め,TO,スコアと得点板が合わないと気づいたときに近い対応は？,次の得点まで待つ,関係者に確認して止めるべき場面を整理する,観客席に多数決を取る,B,得点や記録の不一致は、慌てず確認して正しい対応につなげます。,03_TO・試合運営資料
43,高め,TO,ファウル表示や記録で不安があるときに避けたい対応は？,すぐ周囲に確認する,わからないまま進める,記録を見直す,B,わからないまま進めず、TO主任や審判に確認します。,03_TO・試合運営資料
44,高め,TO,TO席で特に大切な姿勢は？,試合を見続けて記録に集中する,応援に集中する,スマホで動画を見ながら行う,A,TOは試合進行に関わるため、集中して見ることが大切です。,03_TO・試合運営資料
45,高め,観戦,ボールを持っていない選手の良い動きに近いものは？,味方がパスしやすい位置へ動く,相手の後ろで止まり続ける,味方のドリブルコースをふさぐ,A,ボールを持っていない時の位置取りも大切なプレーです。,02_保護者・育成資料
46,高め,観戦,速攻を止める守備でまず見たいことは？,誰かが早く戻って相手の前に入る,全員がボールだけを追う,ベンチに確認する,A,切り替えの速さと相手の前に戻る動きが大切です。,02_保護者・育成資料
47,高め,観戦,子どもがミスをした直後に評価したいポイントは？,次のプレーに向かえたか,ミスをしなかったことにする,すぐ理由を問い詰める,A,ミス後の切り替えも大切な成長です。,02_保護者・育成資料
48,高め,保護者,審判の判定に納得できない時に大切なことは？,感情的に責めない,すぐ大声で抗議する,子どもに判定を説明させる,A,判定への不満を感情的に出さないことが大切です。,02_保護者・育成資料
49,高め,保護者,試合後に子どもへ伝える言葉としてよいものは？,最後まで戻っていたの見てたよ,なんで外したの,相手が弱かっただけ,A,具体的に良かった場面を伝えると子どもに届きやすいです。,02_保護者・育成資料
50,高め,保護者,北陽の運用と公式ルールで確認先を分ける理由は？,公式とチーム独自ルールは別物だから,どちらも同じ内容だから,公式資料は見なくてよいから,A,競技ルールとチーム運用は根拠が違うため、分けて確認します。,04_北陽チーム資料
